GWID,STATENAME,FROM,TO,GROUP,SFE_GROUP_ID,CHILD_OF,PARENT_OF,DIVISION,EPR_GROUP_ID,MAR_GROUP_ID,OFFICER_RELATIVE,OFFICER_SOURCEQUAL,OFFICER_LOWER,OFFICER_UPPER,RANK_FILE_RELATIVE,RANK_FILE_SOURCEQUAL,RANK_FILE_LOWER,RANK_FILE_UPPER
663,Jordan,1966,1972,Transjordanian,663-TRA,,,1,66301000,,4,2,60,70,4,3,50,60
663,Jordan,1973,1992,Palestinian,663-PAL,,,1,66302000,66302,2,3,20,40,2,3,10,40
663,Jordan,1973,1992,Transjordanian,663-TRA,,,1,66301000,,4,3,60,80,4,3,60,90
663,Jordan,1993,2013,Palestinian,663-PAL,,,1,66302000,66302,2,3,0,40,2,3,0,40
663,Jordan,1993,2013,Transjordanian,663-TRA,,,1,66301000,,4,3,60,100,4,3,60,100
666,Israel,1949,1967,Arabs,666-ARA,,"666-IAR, 666-PAL",0,,,2,3,0,10,2,3,0,10
666,Israel,1949,1967,Ashkenazi Jews,666-ASH,666-JEW,,1,66602000,,4,2,80,90,4,2,50,60
666,Israel,1949,1967,Israeli Arabs,666-IAR,,,1,66601100,66601,2,3,0,10,2,3,0,10
666,Israel,1949,1967,Jews,666-JEW,,"666-ASH, 666-MIZ",0,,,4,3,90,100,4,3,90,100
666,Israel,1949,1967,Mizrahi Jews,666-MIZ,666-JEW,,1,66604000,,2,3,0,10,4,2,40,50
666,Israel,1968,2013,Arabs,666-ARA,,"666-IAR, 666-PAL",0,,,2,2,0,10,2,2,0,10
666,Israel,1968,2013,Ashkenazi Jews,666-ASH,666-JEW,,1,66602000,,4,2,60,90,4,1,50,60
666,Israel,1968,2013,Israeli Arabs,666-IAR,666-ARA,,1,66601100,66601,2,2,0,10,2,2,0,10
666,Israel,1968,2013,Jews,666-JEW,,"666-ASH, 666-MIZ",0,,,4,3,90,100,4,3,90,100
666,Israel,1968,2013,Mizrahi Jews,666-MIZ,666-JEW,,1,66604000,,2,2,0,30,4,1,40,50
666,Israel,1968,2013,Palestinian Arabs,666-PAL,666-ARA,,1,66601200,66603,1,2,0,0,1,2,0,0
670,Saudi Arabia,1946,2013,Sunni,670-SUN,,"670-WAH, 670-SHA",1,,,4,2,90,100,4,3,80,90
670,Saudi Arabia,1946,2013,Shia,670-SHI,,"670-JAA, 670-ISM",1,,67002,1,2,0,0,2,3,0,10
670,Saudi Arabia,1946,2013,Sunni Wahhabi (Najdi),670-WAH,670-SUN,,0,67005000,,-99,-99,-99,-99,-99,-99,-99,-99
670,Saudi Arabia,1946,2013,Sunni Shafii/Sofi (Hijazi),670-SHA,670-SUN,,0,67004000,,-99,-99,-99,-99,-99,-99,-99,-99
670,Saudi Arabia,1946,2013,Ja'afari Shia (Eastern Province),670-JAA,670-SHI,,0,67002000,,1,2,0,0,2,1,0,10
670,Saudi Arabia,1946,2013,Ismaili Shia (South),670-ISM,670-SHI,,0,67001000,,1,2,0,0,2,1,0,10
670,Saudi Arabia,1946,2013,Expatriates,670-EXP,,670-PAK,1,,,-88,-88,0,10,-88,-88,0,10
670,Saudi Arabia,1946,2013,Pakistanis,670-PAK,670-EXP,,0,,,-88,-88,0,10,-88,-88,0,10
678,North Yemen,1946,1990,Al Akhdam,678-AKH,,,1,67803000,,2,1,0,10,2,1,0,10
678,North Yemen,1946,1990,Northern Shafii Sunni,678-NSH,,,1,67802200,,2,3,10,50,2,3,20,50
678,North Yemen,1946,1990,Zaydi,678-ZAY,,,1,67802100,,4,3,50,90,4,3,50,80
678,Yemen,1991,1994,Al Akhdam,678-AKH,,,1,67803000,,2,1,0,10,2,1,0,10
678,Yemen,1991,1994,Northern Shafii Sunni,678-NSH,678-NOR,,1,67802200,,3,2,0,30,3,2,10,30
678,Yemen,1991,1994,Northerners,678-NOR,,678-NSU; 678-ZAY,0,67802000,,4,2,50,60,4,2,50,60
678,Yemen,1991,1994,Southerners,678-SOU,,,1,67801000,,2,2,40,50,2,2,40,50
678,Yemen,1991,1994,Zaydi,678-ZAY,678-NOR,,1,67802100,,4,2,30,50,4,2,30,50
678,Yemen,1995,2013,Al Akhdam,678-AKH,,,1,67803000,,2,1,0,10,2,1,0,10
678,Yemen,1995,2013,Northern Shafii Sunni,678-NSH,678-NOR,,1,67802200,,2,3,0,40,2,3,10,40
678,Yemen,1995,2013,Northerners,678-NOR,,678-NSU; 678-ZAY,0,67802000,,4,2,80,100,4,3,80,90
678,Yemen,1995,2013,Southerners,678-SOU,,,1,67801000,,2,3,0,20,2,3,10,20
678,Yemen,1995,2013,Zaydi,678-ZAY,678-NOR,,1,67802100,,4,3,40,90,4,3,40,80
680,South Yemen,1967,1989,Southerners,680-SOU,,,1,68001000,,3,3,100,100,3,3,100,100
690,Kuwait,1961,1991,Kuwaiti Sunni,690-KSU,,,1,69003000,,4,2,70,100,3,3,20,30
690,Kuwait,1961,1991,Bedoon,690-BED,,,1,69004000,,2,1,0,10,4,3,70,80
690,Kuwait,1961,1991,Kuwaiti Shia,690-KSH,,,1,69002000,,-99,-99,0,30,2,1,0,20
690,Kuwait,1961,1991,Expats,690-EXP,,,1,,,-99,-99,-99,-99,2,1,0,10
690,Kuwait,1992,2013,Kuwaiti Sunni,690-KSU,,,1,69003000,,4,2,50,100,3,2,20,50
690,Kuwait,1992,2013,Bedoon,690-BED,,,1,69004000,,1,2,0,0,4,2,30,50
690,Kuwait,1992,2013,Kuwaiti Shia,690-KSH,,,1,69002000,,-99,-99,0,50,-99,-99,0,30
690,Kuwait,1992,2013,Expats,690-EXP,,,1,,,2,1,0,50,2,2,10,30
692,Bahrain,1971,2013,Bahraini,692-BAH,,"692-BSU, 692-BSH",0,,,-99,-99,-99,-99,-99,-99,-99,-99
692,Bahrain,1971,2013,Bahraini Shia,692-BSH,"692-BAH, 692-SHI",,0,69202000,69201,1,2,0,0,1,2,0,0
